Date,Product_Category,Region,Units_Sold,Unit_Price,Total_Sales,Month,Year,Day_of_Week,Quarter
2022-06-11,Sports,East,12,33.94,407.27,6,2022,Saturday,Q2
2022-06-11,Sports,West,35,12.35,432.25,6,2022,Saturday,Q2
2022-06-12,Electronics,North,35,18.5,647.66,6,2022,Sunday,Q2
2022-06-12,Electronics,South,20,30.39,607.73,6,2022,Sunday,Q2
2022-06-12,Electronics,East,12,48.7,584.44,6,2022,Sunday,Q2
2022-06-12,Electronics,West,14,46.32,648.51,6,2022,Sunday,Q2
2022-06-12,Clothing,North,29,14.69,426.0,6,2022,Sunday,Q2
2022-06-12,Clothing,South,14,31.68,443.58,6,2022,Sunday,Q2
2022-06-12,Clothing,East,17,25.66,436.15,6,2022,Sunday,Q2
2022-06-12,Clothing,West,11,36.41,400.52,6,2022,Sunday,Q2
2022-06-12,Groceries,North,44,21.17,931.64,6,2022,Sunday,Q2
2022-06-12,Groceries,South,19,47.7,906.24,6,2022,Sunday,Q2
2022-06-12,Groceries,East,22,41.91,921.95,6,2022,Sunday,Q2
2022-06-12,Groceries,West,85,11.33,963.11,6,2022,Sunday,Q2
2022-06-12,Furniture,North,15,22.56,338.39,6,2022,Sunday,Q2
2022-06-12,Furniture,South,14,25.22,353.01,6,2022,Sunday,Q2
2022-06-12,Furniture,East,12,28.39,340.73,6,2022,Sunday,Q2
2022-06-12,Furniture,West,6,54.66,327.95,6,2022,Sunday,Q2
2022-06-12,Sports,North,13,30.28,393.66,6,2022,Sunday,Q2
2022-06-12,Sports,South,8,42.35,338.81,6,2022,Sunday,Q2
2022-06-12,Sports,East,23,17.76,408.44,6,2022,Sunday,Q2
2022-06-12,Sports,West,11,32.95,362.43,6,2022,Sunday,Q2
2022-06-13,Electronics,North,11,51.7,568.68,6,2022,Monday,Q2
2022-06-13,Electronics,South,17,32.03,544.44,6,2022,Monday,Q2
2022-06-13,Electronics,East,43,12.05,518.14,6,2022,Monday,Q2
2022-06-13,Electronics,West,25,21.38,534.58,6,2022,Monday,Q2
2022-06-13,Clothing,North,7,52.69,368.84,6,2022,Monday,Q2
2022-06-13,Clothing,South,16,26.13,418.06,6,2022,Monday,Q2
2022-06-13,Clothing,East,11,31.99,351.91,6,2022,Monday,Q2
2022-06-13,Clothing,West,19,21.76,413.38,6,2022,Monday,Q2
2022-06-13,Groceries,North,21,38.4,806.35,6,2022,Monday,Q2
2022-06-13,Groceries,South,16,48.74,779.92,6,2022,Monday,Q2
2022-06-13,Groceries,East,28,30.23,846.57,6,2022,Monday,Q2
2022-06-13,Groceries,West,26,32.77,851.93,6,2022,Monday,Q2
2022-06-13,Furniture,North,5,54.08,270.42,6,2022,Monday,Q2
2022-06-13,Furniture,South,4,58.91,235.64,6,2022,Monday,Q2
2022-06-13,Furniture,East,6,44.0,263.97,6,2022,Monday,Q2
2022-06-13,Furniture,West,8,31.0,247.97,6,2022,Monday,Q2
2022-06-13,Sports,North,11,30.95,340.43,6,2022,Monday,Q2
2022-06-13,Sports,South,12,25.77,309.22,6,2022,Monday,Q2
2022-06-13,Sports,East,21,18.39,386.21,6,2022,Monday,Q2
2022-06-13,Sports,West,6,49.7,298.2,6,2022,Monday,Q2
2022-06-14,Electronics,North,41,14.29,585.8,6,2022,Tuesday,Q2
2022-06-14,Electronics,South,17,35.06,595.97,6,2022,Tuesday,Q2
2022-06-14,Electronics,East,14,34.26,479.65,6,2022,Tuesday,Q2
2022-06-14,Electronics,West,42,13.65,573.23,6,2022,Tuesday,Q2
2022-06-14,Clothing,North,6,52.54,315.21,6,2022,Tuesday,Q2
2022-06-14,Clothing,South,10,34.47,344.75,6,2022,Tuesday,Q2
2022-06-14,Clothing,East,23,13.88,319.26,6,2022,Tuesday,Q2
2022-06-14,Clothing,West,7,55.52,388.61,6,2022,Tuesday,Q2
2022-06-14,Groceries,North,23,36.3,834.8,6,2022,Tuesday,Q2
2022-06-14,Groceries,South,73,10.99,802.47,6,2022,Tuesday,Q2
2022-06-14,Groceries,East,40,21.44,857.52,6,2022,Tuesday,Q2
2022-06-14,Groceries,West,71,12.59,893.57,6,2022,Tuesday,Q2
2022-06-14,Furniture,North,17,12.92,219.61,6,2022,Tuesday,Q2
2022-06-14,Furniture,South,7,39.62,277.32,6,2022,Tuesday,Q2
2022-06-14,Furniture,East,7,27.94,195.57,6,2022,Tuesday,Q2
2022-06-14,Furniture,West,15,19.74,296.04,6,2022,Tuesday,Q2
2022-06-14,Sports,North,11,28.5,313.46,6,2022,Tuesday,Q2
2022-06-14,Sports,South,9,29.65,266.81,6,2022,Tuesday,Q2
2022-06-14,Sports,East,11,29.49,324.34,6,2022,Tuesday,Q2
2022-06-14,Sports,West,9,31.82,286.35,6,2022,Tuesday,Q2
2022-06-15,Electronics,North,38,13.75,522.64,6,2022,Wednesday,Q2
2022-06-15,Electronics,South,13,41.02,533.32,6,2022,Wednesday,Q2
2022-06-15,Electronics,East,22,25.85,568.65,6,2022,Wednesday,Q2
2022-06-15,Electronics,West,19,27.42,520.93,6,2022,Wednesday,Q2
2022-06-15,Clothing,North,20,14.18,283.58,6,2022,Wednesday,Q2
2022-06-15,Clothing,South,14,23.91,334.74,6,2022,Wednesday,Q2
2022-06-15,Clothing,East,18,21.53,387.59,6,2022,Wednesday,Q2
2022-06-15,Clothing,West,13,29.78,387.13,6,2022,Wednesday,Q2
2022-06-15,Groceries,North,76,10.96,833.28,6,2022,Wednesday,Q2
2022-06-15,Groceries,South,18,46.24,832.29,6,2022,Wednesday,Q2
2022-06-15,Groceries,East,39,21.3,830.57,6,2022,Wednesday,Q2
2022-06-15,Groceries,West,54,15.36,829.35,6,2022,Wednesday,Q2
2022-06-15,Furniture,North,15,15.41,231.22,6,2022,Wednesday,Q2
2022-06-15,Furniture,South,7,36.65,256.53,6,2022,Wednesday,Q2
2022-06-15,Furniture,East,8,36.05,288.42,6,2022,Wednesday,Q2
2022-06-15,Furniture,West,10,22.09,220.88,6,2022,Wednesday,Q2
2022-06-15,Sports,North,8,34.47,275.76,6,2022,Wednesday,Q2
2022-06-15,Sports,South,11,28.17,309.92,6,2022,Wednesday,Q2
2022-06-15,Sports,East,7,45.78,320.45,6,2022,Wednesday,Q2
2022-06-15,Sports,West,5,51.05,255.27,6,2022,Wednesday,Q2
2022-06-16,Electronics,North,26,19.36,503.49,6,2022,Thursday,Q2
2022-06-16,Electronics,South,29,20.62,598.02,6,2022,Thursday,Q2
2022-06-16,Electronics,East,10,47.99,479.87,6,2022,Thursday,Q2
2022-06-16,Electronics,West,21,25.59,537.33,6,2022,Thursday,Q2
2022-06-16,Clothing,North,7,43.7,305.88,6,2022,Thursday,Q2
2022-06-16,Clothing,South,8,37.78,302.24,6,2022,Thursday,Q2
2022-06-16,Clothing,East,7,42.96,300.72,6,2022,Thursday,Q2
2022-06-16,Clothing,West,32,11.88,380.3,6,2022,Thursday,Q2
2022-06-16,Groceries,North,32,26.53,848.98,6,2022,Thursday,Q2
2022-06-16,Groceries,South,29,30.37,880.6,6,2022,Thursday,Q2
2022-06-16,Groceries,East,35,24.09,843.29,6,2022,Thursday,Q2
2022-06-16,Groceries,West,56,15.71,879.65,6,2022,Thursday,Q2
2022-06-16,Furniture,North,9,26.95,242.57,6,2022,Thursday,Q2
2022-06-16,Furniture,South,4,40.22,160.86,6,2022,Thursday,Q2
2022-06-16,Furniture,East,7,37.57,263.02,6,2022,Thursday,Q2
2022-06-16,Furniture,West,5,49.05,245.25,6,2022,Thursday,Q2
2022-06-16,Sports,North,12,24.23,290.8,6,2022,Thursday,Q2
2022-06-16,Sports,South,8,33.88,271.04,6,2022,Thursday,Q2
2022-06-16,Sports,East,10,31.72,317.23,6,2022,Thursday,Q2
2022-06-16,Sports,West,6,44.15,264.88,6,2022,Thursday,Q2
2022-06-17,Electronics,North,21,26.89,564.73,6,2022,Friday,Q2
2022-06-17,Electronics,South,23,23.82,547.86,6,2022,Friday,Q2
2022-06-17,Electronics,East,13,43.51,565.58,6,2022,Friday,Q2
2022-06-17,Electronics,West,11,50.04,550.4,6,2022,Friday,Q2
2022-06-17,Clothing,North,17,22.4,380.83,6,2022,Friday,Q2
2022-06-17,Clothing,South,18,19.86,357.5,6,2022,Friday,Q2
2022-06-17,Clothing,East,10,34.85,348.49,6,2022,Friday,Q2
2022-06-17,Clothing,West,7,39.43,275.98,6,2022,Friday,Q2
2022-06-17,Groceries,North,26,33.93,882.21,6,2022,Friday,Q2
2022-06-17,Groceries,South,25,31.92,797.99,6,2022,Friday,Q2
2022-06-17,Groceries,East,60,13.43,805.78,6,2022,Friday,Q2
2022-06-17,Groceries,West,58,14.97,868.55,6,2022,Friday,Q2
2022-06-17,Furniture,North,5,49.09,245.44,6,2022,Friday,Q2
2022-06-17,Furniture,South,5,39.81,199.07,6,2022,Friday,Q2
2022-06-17,Furniture,East,8,28.42,227.37,6,2022,Friday,Q2
2022-06-17,Furniture,West,10,28.04,280.38,6,2022,Friday,Q2
2022-06-17,Sports,North,17,17.62,299.5,6,2022,Friday,Q2
2022-06-17,Sports,South,24,12.34,296.16,6,2022,Friday,Q2
2022-06-17,Sports,East,6,45.65,273.91,6,2022,Friday,Q2
2022-06-17,Sports,West,8,39.96,319.69,6,2022,Friday,Q2
2022-06-18,Electronics,North,16,38.7,619.25,6,2022,Saturday,Q2
2022-06-18,Electronics,South,22,29.14,641.02,6,2022,Saturday,Q2
2022-06-18,Electronics,East,34,17.6,598.57,6,2022,Saturday,Q2
2022-06-18,Electronics,West,22,31.19,686.1,6,2022,Saturday,Q2
2022-06-18,Clothing,North,11,42.18,463.99,6,2022,Saturday,Q2
2022-06-18,Clothing,South,11,38.79,426.72,6,2022,Saturday,Q2
2022-06-18,Clothing,East,14,30.93,433.08,6,2022,Saturday,Q2
2022-06-18,Clothing,West,8,50.65,405.18,6,2022,Saturday,Q2
2022-06-18,Groceries,North,59,15.99,943.52,6,2022,Saturday,Q2
2022-06-18,Groceries,South,21,40.87,858.33,6,2022,Saturday,Q2
2022-06-18,Groceries,East,20,48.63,972.55,6,2022,Saturday,Q2
2022-06-18,Groceries,West,24,39.23,941.64,6,2022,Saturday,Q2
2022-06-18,Furniture,North,29,10.1,292.99,6,2022,Saturday,Q2
2022-06-18,Furniture,South,25,14.87,371.64,6,2022,Saturday,Q2
2022-06-18,Furniture,East,14,27.33,382.69,6,2022,Saturday,Q2
2022-06-18,Furniture,West,8,41.84,334.73,6,2022,Saturday,Q2
2022-06-18,Sports,North,19,18.37,349.03,6,2022,Saturday,Q2
2022-06-18,Sports,South,8,46.77,374.17,6,2022,Saturday,Q2
2022-06-18,Sports,East,26,14.96,389.08,6,2022,Saturday,Q2
2022-06-18,Sports,West,7,54.59,382.14,6,2022,Saturday,Q2
2022-06-19,Electronics,North,17,34.74,590.53,6,2022,Sunday,Q2
2022-06-19,Electronics,South,13,48.93,636.04,6,2022,Sunday,Q2
2022-06-19,Electronics,East,37,17.7,655.06,6,2022,Sunday,Q2
2022-06-19,Electronics,West,16,36.5,583.96,6,2022,Sunday,Q2
2022-06-19,Clothing,North,17,22.77,387.06,6,2022,Sunday,Q2
2022-06-19,Clothing,South,23,17.46,401.55,6,2022,Sunday,Q2
2022-06-19,Clothing,East,20,20.7,414.05,6,2022,Sunday,Q2
2022-06-19,Clothing,West,15,29.71,445.59,6,2022,Sunday,Q2
2022-06-19,Groceries,North,19,50.25,954.68,6,2022,Sunday,Q2
2022-06-19,Groceries,South,32,27.98,895.37,6,2022,Sunday,Q2
2022-06-19,Groceries,East,56,16.54,926.47,6,2022,Sunday,Q2
2022-06-19,Groceries,West,25,38.13,953.3,6,2022,Sunday,Q2
2022-06-19,Furniture,North,8,48.23,385.84,6,2022,Sunday,Q2
2022-06-19,Furniture,South,11,29.66,326.31,6,2022,Sunday,Q2
2022-06-19,Furniture,East,11,29.81,327.96,6,2022,Sunday,Q2
2022-06-19,Furniture,West,9,36.94,332.45,6,2022,Sunday,Q2
2022-06-19,Sports,North,15,24.06,360.95,6,2022,Sunday,Q2
2022-06-19,Sports,South,10,37.4,373.98,6,2022,Sunday,Q2
2022-06-19,Sports,East,11,28.32,311.51,6,2022,Sunday,Q2
2022-06-19,Sports,West,17,20.76,352.86,6,2022,Sunday,Q2
2022-06-20,Electronics,North,18,30.73,553.08,6,2022,Monday,Q2
2022-06-20,Electronics,South,28,18.26,511.28,6,2022,Monday,Q2
2022-06-20,Electronics,East,43,13.11,563.88,6,2022,Monday,Q2
2022-06-20,Electronics,West,30,16.24,487.15,6,2022,Monday,Q2
2022-06-20,Clothing,North,9,40.29,362.61,6,2022,Monday,Q2
2022-06-20,Clothing,South,9,40.28,362.52,6,2022,Monday,Q2
2022-06-20,Clothing,East,35,11.54,404.06,6,2022,Monday,Q2
2022-06-20,Clothing,West,9,36.37,327.32,6,2022,Monday,Q2
2022-06-20,Groceries,North,34,24.65,838.06,6,2022,Monday,Q2
2022-06-20,Groceries,South,41,21.56,883.99,6,2022,Monday,Q2
2022-06-20,Groceries,East,19,46.28,879.32,6,2022,Monday,Q2
2022-06-20,Groceries,West,36,24.13,868.6,6,2022,Monday,Q2
2022-06-20,Furniture,North,5,49.65,248.24,6,2022,Monday,Q2
2022-06-20,Furniture,South,9,31.45,283.01,6,2022,Monday,Q2
2022-06-20,Furniture,East,7,45.32,317.26,6,2022,Monday,Q2
2022-06-20,Furniture,West,5,51.19,255.94,6,2022,Monday,Q2
2022-06-20,Sports,North,8,36.19,289.48,6,2022,Monday,Q2
2022-06-20,Sports,South,10,30.97,309.67,6,2022,Monday,Q2
2022-06-20,Sports,East,7,41.91,293.4,6,2022,Monday,Q2
2022-06-20,Sports,West,12,23.32,279.81,6,2022,Monday,Q2
2022-06-21,Electronics,North,43,13.06,561.53,6,2022,Tuesday,Q2
2022-06-21,Electronics,South,11,47.33,520.59,6,2022,Tuesday,Q2
2022-06-21,Electronics,East,11,50.26,552.81,6,2022,Tuesday,Q2
2022-06-21,Electronics,West,13,37.71,490.26,6,2022,Tuesday,Q2
2022-06-21,Clothing,North,16,24.17,386.73,6,2022,Tuesday,Q2
2022-06-21,Clothing,South,14,22.31,312.39,6,2022,Tuesday,Q2
2022-06-21,Clothing,East,24,12.31,295.42,6,2022,Tuesday,Q2
2022-06-21,Clothing,West,33,11.38,375.61,6,2022,Tuesday,Q2
2022-06-21,Groceries,North,28,31.5,881.97,6,2022,Tuesday,Q2
2022-06-21,Groceries,South,19,44.48,845.12,6,2022,Tuesday,Q2
2022-06-21,Groceries,East,42,19.83,832.66,6,2022,Tuesday,Q2
2022-06-21,Groceries,West,29,28.47,825.52,6,2022,Tuesday,Q2
2022-06-21,Furniture,North,7,34.78,243.44,6,2022,Tuesday,Q2
2022-06-21,Furniture,South,4,58.58,234.3,6,2022,Tuesday,Q2
2022-06-21,Furniture,East,4,57.66,230.63,6,2022,Tuesday,Q2
2022-06-21,Furniture,West,6,34.9,209.38,6,2022,Tuesday,Q2
2022-06-21,Sports,North,25,10.05,251.21,6,2022,Tuesday,Q2
2022-06-21,Sports,South,6,48.02,288.14,6,2022,Tuesday,Q2
2022-06-21,Sports,East,6,48.75,292.51,6,2022,Tuesday,Q2
2022-06-21,Sports,West,14,18.86,263.97,6,2022,Tuesday,Q2
2022-06-22,Electronics,North,15,34.36,515.39,6,2022,Wednesday,Q2
2022-06-22,Electronics,South,32,16.87,539.94,6,2022,Wednesday,Q2
2022-06-22,Electronics,East,17,29.77,506.16,6,2022,Wednesday,Q2
2022-06-22,Electronics,West,16,35.31,564.91,6,2022,Wednesday,Q2
2022-06-22,Clothing,North,15,23.27,349.05,6,2022,Wednesday,Q2
2022-06-22,Clothing,South,8,38.9,311.22,6,2022,Wednesday,Q2
2022-06-22,Clothing,East,22,15.79,347.44,6,2022,Wednesday,Q2
2022-06-22,Clothing,West,11,27.89,306.83,6,2022,Wednesday,Q2
2022-06-22,Groceries,North,41,20.92,857.69,6,2022,Wednesday,Q2
2022-06-22,Groceries,South,17,47.52,807.91,6,2022,Wednesday,Q2
2022-06-22,Groceries,East,24,34.57,829.59,6,2022,Wednesday,Q2
2022-06-22,Groceries,West,61,13.73,837.45,6,2022,Wednesday,Q2
2022-06-22,Furniture,North,7,39.85,278.93,6,2022,Wednesday,Q2
2022-06-22,Furniture,South,5,41.94,209.68,6,2022,Wednesday,Q2
2022-06-22,Furniture,East,14,14.9,208.54,6,2022,Wednesday,Q2
2022-06-22,Furniture,West,4,47.34,189.37,6,2022,Wednesday,Q2
2022-06-22,Sports,North,16,21.19,339.08,6,2022,Wednesday,Q2
2022-06-22,Sports,South,12,23.67,284.07,6,2022,Wednesday,Q2
2022-06-22,Sports,East,6,52.62,315.72,6,2022,Wednesday,Q2
2022-06-22,Sports,West,8,33.24,265.89,6,2022,Wednesday,Q2
2022-06-23,Electronics,North,11,46.91,515.99,6,2022,Thursday,Q2
2022-06-23,Electronics,South,50,10.58,529.14,6,2022,Thursday,Q2
2022-06-23,Electronics,East,22,24.09,530.02,6,2022,Thursday,Q2
2022-06-23,Electronics,West,11,50.09,551.02,6,2022,Thursday,Q2
2022-06-23,Clothing,North,10,33.24,332.43,6,2022,Thursday,Q2
2022-06-23,Clothing,South,17,18.79,319.37,6,2022,Thursday,Q2
2022-06-23,Clothing,East,9,43.03,387.29,6,2022,Thursday,Q2
2022-06-23,Clothing,West,30,10.13,304.01,6,2022,Thursday,Q2
2022-06-23,Groceries,North,70,11.53,807.33,6,2022,Thursday,Q2
2022-06-23,Groceries,South,53,15.18,804.4,6,2022,Thursday,Q2
2022-06-23,Groceries,East,42,20.29,852.26,6,2022,Thursday,Q2
2022-06-23,Groceries,West,77,10.96,843.97,6,2022,Thursday,Q2
2022-06-23,Furniture,North,11,20.52,225.76,6,2022,Thursday,Q2
2022-06-23,Furniture,South,6,33.83,202.98,6,2022,Thursday,Q2
2022-06-23,Furniture,East,9,26.09,234.82,6,2022,Thursday,Q2
2022-06-23,Furniture,West,10,25.67,256.67,6,2022,Thursday,Q2
2022-06-23,Sports,North,11,29.81,327.9,6,2022,Thursday,Q2
2022-06-23,Sports,South,5,52.43,262.17,6,2022,Thursday,Q2
2022-06-23,Sports,East,8,34.46,275.66,6,2022,Thursday,Q2
2022-06-23,Sports,West,21,13.98,293.67,6,2022,Thursday,Q2
2022-06-24,Electronics,North,28,18.45,516.57,6,2022,Friday,Q2
2022-06-24,Electronics,South,10,48.84,488.4,6,2022,Friday,Q2
2022-06-24,Electronics,East,15,34.89,523.3,6,2022,Friday,Q2
2022-06-24,Electronics,West,13,37.82,491.71,6,2022,Friday,Q2
2022-06-24,Clothing,North,10,35.69,356.94,6,2022,Friday,Q2
2022-06-24,Clothing,South,11,28.99,318.85,6,2022,Friday,Q2
2022-06-24,Clothing,East,7,46.6,326.18,6,2022,Friday,Q2
2022-06-24,Clothing,West,8,38.19,305.55,6,2022,Friday,Q2
2022-06-24,Groceries,North,56,14.77,827.32,6,2022,Friday,Q2
2022-06-24,Groceries,South,82,10.57,866.37,6,2022,Friday,Q2
2022-06-24,Groceries,East,20,43.03,860.5,6,2022,Friday,Q2
2022-06-24,Groceries,West,36,22.1,795.72,6,2022,Friday,Q2
2022-06-24,Furniture,North,5,29.33,146.63,6,2022,Friday,Q2
2022-06-24,Furniture,South,11,20.32,223.53,6,2022,Friday,Q2
2022-06-24,Furniture,East,17,12.89,219.05,6,2022,Friday,Q2
2022-06-24,Furniture,West,12,18.11,217.26,6,2022,Friday,Q2
2022-06-24,Sports,North,10,26.14,261.44,6,2022,Friday,Q2
2022-06-24,Sports,South,23,10.66,245.1,6,2022,Friday,Q2
2022-06-24,Sports,East,9,38.53,346.77,6,2022,Friday,Q2
2022-06-24,Sports,West,13,25.7,334.04,6,2022,Friday,Q2
2022-06-25,Electronics,North,48,12.36,593.51,6,2022,Saturday,Q2
2022-06-25,Electronics,South,21,29.02,609.37,6,2022,Saturday,Q2
2022-06-25,Electronics,East,44,14.43,635.01,6,2022,Saturday,Q2
2022-06-25,Electronics,West,14,43.52,609.28,6,2022,Saturday,Q2
2022-06-25,Clothing,North,17,23.01,391.2,6,2022,Saturday,Q2
2022-06-25,Clothing,South,14,26.17,366.36,6,2022,Saturday,Q2
2022-06-25,Clothing,East,9,45.1,405.87,6,2022,Saturday,Q2
2022-06-25,Clothing,West,13,28.43,369.6,6,2022,Saturday,Q2
2022-06-25,Groceries,North,24,39.23,941.48,6,2022,Saturday,Q2
2022-06-25,Groceries,South,30,30.15,904.53,6,2022,Saturday,Q2
2022-06-25,Groceries,East,27,34.12,921.12,6,2022,Saturday,Q2
2022-06-25,Groceries,West,47,19.06,895.66,6,2022,Saturday,Q2
2022-06-25,Furniture,North,28,11.8,330.38,6,2022,Saturday,Q2
2022-06-25,Furniture,South,5,57.31,286.55,6,2022,Saturday,Q2
2022-06-25,Furniture,East,12,26.19,314.23,6,2022,Saturday,Q2
2022-06-25,Furniture,West,9,32.73,294.59,6,2022,Saturday,Q2
2022-06-25,Sports,North,11,31.71,348.85,6,2022,Saturday,Q2
2022-06-25,Sports,South,32,12.02,384.58,6,2022,Saturday,Q2
2022-06-25,Sports,East,22,15.13,332.82,6,2022,Saturday,Q2
2022-06-25,Sports,West,13,28.18,366.31,6,2022,Saturday,Q2
2022-06-26,Electronics,North,37,17.38,642.96,6,2022,Sunday,Q2
2022-06-26,Electronics,South,47,13.42,630.85,6,2022,Sunday,Q2
2022-06-26,Electronics,East,13,44.99,584.83,6,2022,Sunday,Q2
2022-06-26,Electronics,West,15,41.19,617.91,6,2022,Sunday,Q2
2022-06-26,Clothing,North,17,20.71,352.15,6,2022,Sunday,Q2
2022-06-26,Clothing,South,29,14.94,433.18,6,2022,Sunday,Q2
2022-06-26,Clothing,East,19,25.37,482.12,6,2022,Sunday,Q2
2022-06-26,Clothing,West,14,29.43,412.04,6,2022,Sunday,Q2
2022-06-26,Groceries,North,20,47.23,944.67,6,2022,Sunday,Q2
2022-06-26,Groceries,South,52,16.59,862.62,6,2022,Sunday,Q2
2022-06-26,Groceries,East,24,36.37,872.88,6,2022,Sunday,Q2
2022-06-26,Groceries,West,22,40.59,893.04,6,2022,Sunday,Q2
2022-06-26,Furniture,North,6,49.71,298.25,6,2022,Sunday,Q2
2022-06-26,Furniture,South,24,13.01,312.23,6,2022,Sunday,Q2
2022-06-26,Furniture,East,6,47.49,284.97,6,2022,Sunday,Q2
2022-06-26,Furniture,West,9,34.13,307.17,6,2022,Sunday,Q2
2022-06-26,Sports,North,23,16.61,382.0,6,2022,Sunday,Q2
2022-06-26,Sports,South,31,11.86,367.8,6,2022,Sunday,Q2
2022-06-26,Sports,East,22,15.55,342.11,6,2022,Sunday,Q2
2022-06-26,Sports,West,13,28.86,375.24,6,2022,Sunday,Q2
2022-06-27,Electronics,North,24,21.18,508.36,6,2022,Monday,Q2
2022-06-27,Electronics,South,46,11.37,522.99,6,2022,Monday,Q2
2022-06-27,Electronics,East,11,49.8,547.76,6,2022,Monday,Q2
2022-06-27,Electronics,West,14,36.78,514.95,6,2022,Monday,Q2
2022-06-27,Clothing,North,6,47.36,284.18,6,2022,Monday,Q2
2022-06-27,Clothing,South,7,46.02,322.16,6,2022,Monday,Q2
2022-06-27,Clothing,East,19,18.32,348.05,6,2022,Monday,Q2
2022-06-27,Clothing,West,19,18.48,351.03,6,2022,Monday,Q2
2022-06-27,Groceries,North,28,28.19,789.25,6,2022,Monday,Q2
2022-06-27,Groceries,South,20,42.07,841.42,6,2022,Monday,Q2
2022-06-27,Groceries,East,19,42.8,813.22,6,2022,Monday,Q2
2022-06-27,Groceries,West,19,45.5,864.46,6,2022,Monday,Q2
2022-06-27,Furniture,North,8,23.09,184.73,6,2022,Monday,Q2
2022-06-27,Furniture,South,10,24.08,240.82,6,2022,Monday,Q2
2022-06-27,Furniture,East,11,19.1,210.05,6,2022,Monday,Q2
2022-06-27,Furniture,West,7,28.98,202.88,6,2022,Monday,Q2
2022-06-27,Sports,North,21,14.25,299.22,6,2022,Monday,Q2
2022-06-27,Sports,South,6,50.71,304.29,6,2022,Monday,Q2
2022-06-27,Sports,East,5,42.41,212.04,6,2022,Monday,Q2
2022-06-27,Sports,West,14,21.42,299.81,6,2022,Monday,Q2
2022-06-28,Electronics,North,11,46.9,515.88,6,2022,Tuesday,Q2
2022-06-28,Electronics,South,18,28.82,518.8,6,2022,Tuesday,Q2
2022-06-28,Electronics,East,12,40.06,480.74,6,2022,Tuesday,Q2
2022-06-28,Electronics,West,13,41.24,536.17,6,2022,Tuesday,Q2
2022-06-28,Clothing,North,13,29.82,387.67,6,2022,Tuesday,Q2
2022-06-28,Clothing,South,6,50.34,302.06,6,2022,Tuesday,Q2
2022-06-28,Clothing,East,8,44.37,354.93,6,2022,Tuesday,Q2
2022-06-28,Clothing,West,12,26.48,317.7,6,2022,Tuesday,Q2
2022-06-28,Groceries,North,18,44.62,803.19,6,2022,Tuesday,Q2
2022-06-28,Groceries,South,40,19.39,775.55,6,2022,Tuesday,Q2
2022-06-28,Groceries,East,35,24.56,859.69,6,2022,Tuesday,Q2
2022-06-28,Groceries,West,23,35.71,821.27,6,2022,Tuesday,Q2
2022-06-28,Furniture,North,4,51.16,204.63,6,2022,Tuesday,Q2
2022-06-28,Furniture,South,14,14.95,209.27,6,2022,Tuesday,Q2
2022-06-28,Furniture,East,10,23.87,238.66,6,2022,Tuesday,Q2
2022-06-28,Furniture,West,4,51.15,204.59,6,2022,Tuesday,Q2
2022-06-28,Sports,North,6,40.03,240.16,6,2022,Tuesday,Q2
2022-06-28,Sports,South,23,11.5,264.52,6,2022,Tuesday,Q2
2022-06-28,Sports,East,5,52.72,263.62,6,2022,Tuesday,Q2
2022-06-28,Sports,West,6,43.83,262.98,6,2022,Tuesday,Q2
2022-06-29,Electronics,North,21,23.93,502.43,6,2022,Wednesday,Q2
2022-06-29,Electronics,South,28,19.77,553.58,6,2022,Wednesday,Q2
2022-06-29,Electronics,East,16,37.43,598.8,6,2022,Wednesday,Q2
2022-06-29,Electronics,West,23,21.05,484.26,6,2022,Wednesday,Q2
2022-06-29,Clothing,North,9,28.12,253.09,6,2022,Wednesday,Q2
2022-06-29,Clothing,South,9,34.26,308.35,6,2022,Wednesday,Q2
2022-06-29,Clothing,East,6,42.66,255.94,6,2022,Wednesday,Q2
2022-06-29,Clothing,West,7,38.63,270.43,6,2022,Wednesday,Q2
2022-06-29,Groceries,North,23,34.78,800.03,6,2022,Wednesday,Q2
2022-06-29,Groceries,South,25,33.44,835.9,6,2022,Wednesday,Q2
2022-06-29,Groceries,East,35,23.09,808.01,6,2022,Wednesday,Q2
2022-06-29,Groceries,West,47,15.88,746.36,6,2022,Wednesday,Q2
2022-06-29,Furniture,North,5,41.53,207.64,6,2022,Wednesday,Q2
2022-06-29,Furniture,South,5,41.95,209.77,6,2022,Wednesday,Q2
2022-06-29,Furniture,East,6,35.04,210.25,6,2022,Wednesday,Q2
2022-06-29,Furniture,West,5,49.67,248.36,6,2022,Wednesday,Q2
2022-06-29,Sports,North,21,13.93,292.6,6,2022,Wednesday,Q2
2022-06-29,Sports,South,15,17.84,267.57,6,2022,Wednesday,Q2
2022-06-29,Sports,East,7,46.73,327.14,6,2022,Wednesday,Q2
2022-06-29,Sports,West,4,55.56,222.25,6,2022,Wednesday,Q2
2022-06-30,Electronics,North,11,45.22,497.42,6,2022,Thursday,Q2
2022-06-30,Electronics,South,14,36.36,509.08,6,2022,Thursday,Q2
2022-06-30,Electronics,East,12,42.68,512.14,6,2022,Thursday,Q2
2022-06-30,Electronics,West,11,42.75,470.21,6,2022,Thursday,Q2
2022-06-30,Clothing,North,5,50.92,254.62,6,2022,Thursday,Q2
2022-06-30,Clothing,South,8,39.09,312.76,6,2022,Thursday,Q2
